time,latitude,longitude,mag,place,type,satellite
2018-07-07,40.1633,44.261,null,null,fire,Terra
2018-07-08,40.1621,44.2405,null,null,fire,Aqua
2018-07-08,40.2026,44.5608,null,null,fire,Aqua
2018-07-10,40.1033,44.463,null,null,fire,Terra
2018-07-12,40.1518,44.2314,null,null,fire,Terra
2018-07-20,39.8614,44.6271,null,null,fire,Terra
2018-07-20,39.864,44.6201,null,null,fire,Terra
2018-07-20,39.729,45.4566,null,null,fire,Aqua
2018-07-20,39.7352,45.4627,null,null,fire,Aqua
2018-07-20,39.7333,45.4346,null,null,fire,Aqua
2018-07-20,39.7426,45.4527,null,null,fire,Aqua
2018-07-20,39.7361,45.4454,null,null,fire,Aqua
2018-07-28,40.0843,44.4302,null,null,fire,Terra
2018-07-28,40.0837,44.4242,null,null,fire,Terra
2018-07-28,41.1834,45.0168,null,null,fire,Aqua
2018-07-29,40.9642,44.5551,null,null,fire,Aqua
2018-08-02,40.9075,45.4974,null,null,fire,Aqua
2018-08-03,41.2303,45.0136,null,null,fire,Terra
2018-08-06,40.3497,44.6058,null,null,fire,Terra
2018-08-06,40.3518,44.5935,null,null,fire,Terra
2018-08-06,40.1608,44.3094,null,null,fire,Terra
2018-08-13,40.3033,44.6323,null,null,fire,Terra
2018-08-15,40.6654,43.8184,null,null,fire,Terra
2018-08-15,40.0111,44.4826,null,null,fire,Terra
2018-08-17,40.988,44.5873,null,null,fire,Terra
2018-08-17,41.2317,44.9891,null,null,fire,Aqua
2018-08-17,41.2266,44.9864,null,null,fire,Aqua
2018-08-17,41.2326,45.0121,null,null,fire,Aqua
2018-08-17,41.2375,45.0147,null,null,fire,Aqua
2018-08-18,40.2607,45.782,null,null,fire,Terra
2018-08-25,40.2391,45.731,null,null,fire,Aqua
2018-08-27,39.5219,46.5044,null,null,fire,Terra
2018-08-27,39.5298,46.5146,null,null,fire,Terra
2018-08-28,39.4815,46.3775,null,null,fire,Terra
2018-08-29,40.2505,45.7815,null,null,fire,Terra
2018-08-29,40.2454,45.7858,null,null,fire,Terra
2018-08-29,41.0406,45.1092,null,null,fire,Aqua
2018-08-29,41.0261,45.1968,null,null,fire,Aqua
2018-08-29,41.0239,45.1837,null,null,fire,Aqua
2018-08-29,40.2347,45.7837,null,null,fire,Aqua
2018-08-29,40.2369,45.7965,null,null,fire,Aqua
2018-08-30,39.561,46.4249,null,null,fire,Terra
2018-08-30,40.7914,43.8771,null,null,fire,Aqua
2018-08-31,40.825,43.8806,null,null,fire,Terra
2018-08-31,40.8161,43.8784,null,null,fire,Terra
2018-08-31,41.1237,45.1739,null,null,fire,Aqua
2018-08-31,41.1236,45.1691,null,null,fire,Aqua
2018-09-01,40.43,44.7514,null,null,fire,Terra
2018-09-01,40.311,44.6484,null,null,fire,Aqua
2018-09-01,40.3125,44.6629,null,null,fire,Aqua
2018-09-01,40.3026,44.665,null,null,fire,Aqua
2018-09-01,40.301,44.6504,null,null,fire,Aqua
2018-09-01,40.2995,44.6358,null,null,fire,Aqua
2018-09-01,40.4485,44.7065,null,null,fire,Aqua
2018-09-01,40.4501,44.7212,null,null,fire,Aqua
2018-09-01,40.7202,43.7843,null,null,fire,Aqua
2018-09-01,40.4316,44.7391,null,null,fire,Aqua
2018-09-02,40.8545,44.132,null,null,fire,Terra
2018-09-02,40.4,44.6028,null,null,fire,Terra
2018-09-02,40.6607,44.1369,null,null,fire,Terra
2018-09-02,40.1304,44.2488,null,null,fire,Terra
2018-09-03,41.0901,44.217,null,null,fire,Terra
2018-09-03,41.0825,44.2323,null,null,fire,Terra
2018-09-03,41.085,44.24,null,null,fire,Terra
2018-09-03,41.0794,44.2245,null,null,fire,Aqua
2018-09-03,40.6539,43.8195,null,null,fire,Aqua
2018-09-03,40.5917,43.8349,null,null,fire,Aqua
2018-09-04,40.5126,43.7181,null,null,fire,Aqua
2018-09-04,40.5157,43.7227,null,null,fire,Aqua
2018-09-05,41.0988,44.2466,null,null,fire,Terra
2018-09-05,40.5094,44.7872,null,null,fire,Terra
2018-09-05,40.4415,44.7336,null,null,fire,Aqua
2018-09-05,40.4906,44.8618,null,null,fire,Aqua
2018-09-05,40.2824,44.4428,null,null,fire,Aqua
2018-09-05,40.8431,43.7929,null,null,fire,Aqua
2018-09-05,40.1631,44.5937,null,null,fire,Terra
2018-09-05,40.1615,44.5768,null,null,fire,Terra
2018-09-06,39.5933,46.0885,null,null,fire,Terra
2018-09-06,39.5951,46.0668,null,null,fire,Terra
2018-09-06,39.5988,46.0839,null,null,fire,Terra
2018-09-06,40.5916,43.8002,null,null,fire,Aqua
2018-09-07,40.5243,43.7075,null,null,fire,Terra
2018-09-07,40.5153,43.7052,null,null,fire,Terra
2018-09-07,40.4612,44.4447,null,null,fire,Terra
2018-09-07,40.1781,44.5296,null,null,fire,Terra
2018-09-07,40.5084,44.8739,null,null,fire,Terra
2018-09-07,40.5248,43.7719,null,null,fire,Terra
2018-09-07,40.4636,43.5864,null,null,fire,Terra
2018-09-07,40.4651,43.5985,null,null,fire,Terra
2018-09-07,40.4546,43.5886,null,null,fire,Terra
2018-09-07,40.4561,43.6006,null,null,fire,Terra
2018-09-08,40.5764,43.8031,null,null,fire,Aqua
2018-09-09,40.6605,43.8363,null,null,fire,Terra
2018-09-10,39.5972,46.0899,null,null,fire,Terra
2018-09-10,40.4352,44.7184,null,null,fire,Aqua
2018-09-10,39.7087,45.1394,null,null,fire,Aqua
2018-09-10,40.5092,44.8167,null,null,fire,Aqua
2018-09-11,40.3178,44.8348,null,null,fire,Terra
2018-09-12,40.1188,44.0282,null,null,fire,Terra
2018-09-12,40.3872,44.6594,null,null,fire,Terra
2018-09-12,40.1204,44.023,null,null,fire,Terra
2018-09-12,40.4015,44.7031,null,null,fire,Aqua
2018-09-12,40.4546,44.7499,null,null,fire,Aqua
2018-09-12,40.4634,44.7476,null,null,fire,Aqua
2018-09-12,40.3998,44.6915,null,null,fire,Aqua
2018-09-14,40.3771,44.8023,null,null,fire,Terra
2018-09-14,40.3699,44.7855,null,null,fire,Terra
2018-09-14,40.3576,44.7964,null,null,fire,Terra
2018-09-14,40.3479,44.7934,null,null,fire,Terra
2018-09-14,40.5325,44.8053,null,null,fire,Terra
2018-09-14,40.1268,44.243,null,null,fire,Terra
2018-09-14,40.2401,45.7565,null,null,fire,Terra
2018-09-14,40.095,45.1253,null,null,fire,Aqua
2018-09-14,40.0973,45.1384,null,null,fire,Aqua
2018-09-14,40.3281,44.6767,null,null,fire,Aqua
2018-09-14,40.3582,44.7884,null,null,fire,Aqua
2018-09-14,40.3703,44.7995,null,null,fire,Aqua
2018-09-14,40.3557,44.7742,null,null,fire,Aqua
2018-09-14,40.3774,44.7824,null,null,fire,Aqua
2018-09-14,40.3799,44.7967,null,null,fire,Aqua
2018-09-14,40.3653,44.771,null,null,fire,Aqua
2018-09-14,40.1045,45.1223,null,null,fire,Aqua
2018-09-14,40.3678,44.7853,null,null,fire,Aqua
2018-09-14,40.3512,44.8057,null,null,fire,Aqua
2018-09-14,40.3486,44.7915,null,null,fire,Aqua
2018-09-14,40.3607,44.8026,null,null,fire,Aqua
2018-09-14,40.3622,44.7796,null,null,fire,Terra
2018-09-15,40.1101,45.1483,null,null,fire,Terra
2018-09-15,40.3711,44.8079,null,null,fire,Terra
2018-09-15,40.3682,44.8011,null,null,fire,Terra
2018-09-15,39.4442,45.9413,null,null,fire,Aqua
2018-09-15,39.457,45.9393,null,null,fire,Aqua
2018-09-15,39.459,45.9663,null,null,fire,Aqua
2018-09-15,39.4422,45.9134,null,null,fire,Aqua
2018-09-15,39.4309,45.921,null,null,fire,Aqua
2018-09-15,39.4458,45.9464,null,null,fire,Aqua
2018-09-15,39.4905,46.4125,null,null,fire,Aqua
2018-09-15,39.4436,45.9187,null,null,fire,Aqua
2018-09-15,39.5982,46.0897,null,null,fire,Aqua
2018-09-15,39.4606,45.9713,null,null,fire,Aqua
2018-09-15,39.4585,45.9445,null,null,fire,Aqua
2018-09-15,39.4315,45.9435,null,null,fire,Aqua
2018-09-15,39.4294,45.9151,null,null,fire,Aqua
2018-09-15,40.3643,44.7992,null,null,fire,Aqua
2018-09-15,40.378,44.8184,null,null,fire,Aqua
2018-09-15,40.366,44.8201,null,null,fire,Aqua
2018-09-16,39.7324,44.7599,null,null,fire,Terra
2018-09-16,40.3787,44.7752,null,null,fire,Terra
2018-09-16,39.5275,46.1086,null,null,fire,Aqua
2018-09-16,39.0736,46.4881,null,null,fire,Aqua
2018-09-17,40.4068,44.7493,null,null,fire,Aqua
2018-09-17,40.4562,43.8367,null,null,fire,Aqua
2018-09-17,40.3401,44.7817,null,null,fire,Aqua
2018-09-17,40.3385,44.7672,null,null,fire,Aqua
2018-09-18,39.7605,44.7317,null,null,fire,Terra
2018-09-19,39.8525,44.9588,null,null,fire,Aqua
2018-09-19,39.854,44.9704,null,null,fire,Aqua
2018-09-19,40.6799,44.3395,null,null,fire,Aqua
2018-09-19,40.5462,43.7883,null,null,fire,Aqua
2018-09-21,40.5312,43.7899,null,null,fire,Aqua
2018-09-21,40.5814,43.824,null,null,fire,Aqua
2018-09-21,40.6001,43.8184,null,null,fire,Aqua
2018-09-24,40.2209,45.8309,null,null,fire,Aqua
2018-09-24,40.218,45.8461,null,null,fire,Aqua
2018-09-25,40.4642,44.8478,null,null,fire,Terra
2018-09-25,40.2996,44.772,null,null,fire,Terra
2018-09-25,40.4625,44.8595,null,null,fire,Terra
2018-09-25,40.4553,44.8457,null,null,fire,Terra
2018-09-25,39.5935,46.1084,null,null,fire,Terra
2018-09-25,39.5953,46.0969,null,null,fire,Terra
2018-09-25,40.4543,44.8365,null,null,fire,Aqua
2018-09-25,40.4539,44.8441,null,null,fire,Aqua
2018-09-25,39.5436,46.0538,null,null,fire,Aqua
2018-09-25,39.5931,46.0786,null,null,fire,Aqua
2018-09-25,39.5884,46.0563,null,null,fire,Aqua
2018-09-25,40.1475,44.2724,null,null,fire,Terra
2018-09-26,40.1628,44.6707,null,null,fire,Aqua
2018-09-27,39.7186,45.1378,null,null,fire,Terra
2018-09-30,40.42,44.7634,null,null,fire,Terra
2018-09-30,40.4486,44.8321,null,null,fire,Terra
2018-09-30,39.7151,45.5365,null,null,fire,Terra
2018-09-30,40.5605,43.7503,null,null,fire,Terra
2018-09-30,40.3525,43.6189,null,null,fire,Terra
2018-09-30,40.2151,44.8068,null,null,fire,Terra
2018-09-30,40.5697,43.7533,null,null,fire,Terra
2018-09-30,40.2223,44.8233,null,null,fire,Terra
2018-09-30,40.563,43.7919,null,null,fire,Terra
2018-09-30,40.4175,44.7773,null,null,fire,Terra
2018-09-30,40.2179,44.8058,null,null,fire,Aqua
2018-09-30,40.4288,44.7723,null,null,fire,Aqua
2018-09-30,40.4166,44.7607,null,null,fire,Aqua
2018-09-30,40.3336,44.7638,null,null,fire,Aqua
2018-09-30,40.5537,43.7442,null,null,fire,Aqua
2018-09-30,39.5376,45.891,null,null,fire,Aqua
2018-09-30,39.5999,46.0883,null,null,fire,Aqua
2018-10-03,39.9064,45.0267,null,null,fire,Aqua
2018-10-04,40.4332,43.7722,null,null,fire,Terra
2018-10-04,41.1043,44.2086,null,null,fire,Terra
2018-10-04,40.1478,45.596,null,null,fire,Terra
2018-10-04,39.2256,46.5778,null,null,fire,Terra
2018-10-04,39.2239,46.5892,null,null,fire,Terra
2018-10-04,40.251,44.8166,null,null,fire,Terra
2018-10-04,40.0424,44.2129,null,null,fire,Terra
2018-10-04,39.2139,46.5761,null,null,fire,Aqua
2018-10-05,39.1594,46.1782,null,null,fire,Aqua
2018-10-05,39.1579,46.166,null,null,fire,Aqua
2018-10-05,39.9258,45.1304,null,null,fire,Aqua
2018-10-05,41.1243,45.1507,null,null,fire,Aqua
2018-10-05,41.1227,45.1384,null,null,fire,Aqua
2018-10-05,40.3509,44.5969,null,null,fire,Aqua
2018-10-05,40.3878,44.7327,null,null,fire,Aqua
2018-10-05,39.9184,45.1441,null,null,fire,Aqua
2018-10-05,39.9168,45.1325,null,null,fire,Aqua
2018-10-06,40.4162,43.7386,null,null,fire,Terra
2018-10-06,40.4137,43.7442,null,null,fire,Terra
2018-10-06,39.8064,44.6526,null,null,fire,Terra
2018-10-06,39.8047,44.6698,null,null,fire,Terra
2018-10-06,40.1283,45.5738,null,null,fire,Terra
2018-10-06,40.4756,44.877,null,null,fire,Aqua
2018-10-06,40.2811,44.7685,null,null,fire,Aqua
2018-10-06,40.2765,44.7791,null,null,fire,Aqua
2018-10-06,40.4185,44.7978,null,null,fire,Aqua
2018-10-06,40.3855,44.6471,null,null,fire,Aqua
2018-10-06,40.3802,44.6399,null,null,fire,Aqua
2018-10-07,40.2234,44.8164,null,null,fire,Terra
2018-10-07,40.0951,45.5673,null,null,fire,Aqua
2018-10-07,40.104,45.5648,null,null,fire,Aqua
2018-10-07,40.1315,45.8028,null,null,fire,Aqua
2018-10-07,40.4915,43.6875,null,null,fire,Aqua
2018-10-07,40.4386,44.6479,null,null,fire,Aqua
2018-10-08,40.5034,43.7467,null,null,fire,Terra
2018-10-08,40.2346,44.7861,null,null,fire,Aqua
2018-10-08,40.0053,45.1904,null,null,fire,Aqua
2018-10-08,40.2407,44.8143,null,null,fire,Aqua
2018-10-08,40.239,44.7901,null,null,fire,Aqua
2018-10-08,40.4225,44.8368,null,null,fire,Aqua
2018-10-08,40.431,44.8318,null,null,fire,Aqua
2018-10-09,40.0137,43.9951,null,null,fire,Terra
2018-10-11,41.0083,45.399,null,null,fire,Terra
2018-10-12,40.1741,45.1156,null,null,fire,Aqua
2018-10-14,39.9426,45.1421,null,null,fire,Terra
2018-10-14,39.938,45.1635,null,null,fire,Terra
2018-10-14,39.9368,45.1433,null,null,fire,Aqua
2018-10-14,40.315,44.7652,null,null,fire,Aqua
2018-10-14,40.0171,45.1891,null,null,fire,Aqua
2018-10-14,40.0082,45.1913,null,null,fire,Aqua
2018-10-14,40.0066,45.1798,null,null,fire,Aqua
2018-10-14,40.0154,45.1776,null,null,fire,Aqua
2018-10-14,39.8893,44.5782,null,null,fire,Aqua
2018-10-14,40.5998,43.7827,null,null,fire,Aqua
2018-10-14,40.3133,44.7535,null,null,fire,Aqua
